============================================================
  GPU 2 接力实验启动
  开始时间: Tue Jun  9 08:42:50 PM UTC 2026
============================================================

==============================
  [1/2] NA_v2 (soft_mask, bs=12)
==============================

Namespace(base_lr=0.01, batch_size=12, cmc_init_shared=0.4, cmc_loss_weight=1.0, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=0.5, cmc_patch_size=8, cmc_soft_sigma=0.5, cmc_warmup_iter=5000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=0.1, consistency_rampup=200.0, deterministic=1, exp='BCP_CMC_NA_v2_bs12', gpu='2', labeled_bs=6, labelnum=7, magnitude=6.0, max_iterations=30000, model='unet', num_classes=4, patch_size=[256, 256], pre_iterations=10000, root_path='../data_split/ACDC', s_param=6, seed=1337, u_weight=0.5)
total 1312 samples
total 20 samples
Total slices is: 1312, labeled slices is:136
Start pre_training
22 iterations per epoch
  0%|                                         | 0/455 [00:00<?, ?it/s]iteration 1: loss: 2.386269
iteration 561: loss: 0.608759
iteration 562: loss: 0.583720
iteration 563: loss: 0.544322
iteration 564: loss: 0.508339
iteration 565: loss: 0.645987
iteration 566: loss: 0.567261
iteration 567: loss: 0.536912
iteration 568: loss: 0.567774
iteration 569: loss: 0.641850
iteration 570: loss: 0.484889
iteration 571: loss: 0.488378
iteration 572: loss: 0.627302
  6%|█▊                              | 26/455 [01:06<14:22,  2.01s/it]iteration 573: loss: 0.572097
iteration 574: loss: 0.594487
iteration 575: loss: 0.783732
iteration 576: loss: 0.502646
iteration 577: loss: 0.591475
iteration 578: loss: 0.537420
iteration 579: loss: 0.673439
iteration 580: loss: 0.619946
iteration 581: loss: 0.850303
iteration 582: loss: 0.625034
iteration 583: loss: 0.571861
iteration 584: loss: 0.524148
iteration 585: loss: 0.500384
iteration 586: loss: 0.565507
iteration 587: loss: 0.726329
iteration 588: loss: 0.358037
iteration 589: loss: 0.531521
iteration 590: loss: 0.633885
iteration 591: loss: 0.695125
iteration 592: loss: 0.689868
iteration 593: loss: 0.610197
iteration 594: loss: 0.574300
  6%|█▉                              | 27/455 [01:09<15:14,  2.14s/it]iteration 595: loss: 0.554219
iteration 596: loss: 0.586514
iteration 597: loss: 0.579813
iteration 598: loss: 0.729376
iteration 599: loss: 0.624791
iteration 600: loss: 0.622346
iteration 600 : mean_dice : 0.439654
iteration 601: loss: 0.668647
iteration 602: loss: 0.600265
iteration 603: loss: 0.563626
iteration 604: loss: 0.671677
iteration 605: loss: 0.503507
iteration 606: loss: 0.582236
iteration 607: loss: 0.566402
iteration 608: loss: 0.594233
iteration 609: loss: 0.506855
iteration 610: loss: 0.578347
iteration 611: loss: 0.665811
iteration 612: loss: 0.764670
iteration 613: loss: 0.704836
iteration 614: loss: 0.420413
iteration 615: loss: 0.646951
iteration 616: loss: 0.516045
  6%|█▉                              | 28/455 [01:19<32:21,  4.55s/it]iteration 617: loss: 0.547985
iteration 618: loss: 0.564279
iteration 619: loss: 0.498927
iteration 620: loss: 0.549489
iteration 621: loss: 0.536650
iteration 622: loss: 0.436598
iteration 623: loss: 0.708069
iteration 624: loss: 0.564125
iteration 625: loss: 0.635913
iteration 626: loss: 0.555344
iteration 627: loss: 0.618264
iteration 628: loss: 0.866127
iteration 629: loss: 0.627935
iteration 630: loss: 0.665521
iteration 631: loss: 0.661458
iteration 632: loss: 0.550282
iteration 633: loss: 0.731117
iteration 634: loss: 0.743677
iteration 635: loss: 0.711053
iteration 636: loss: 0.599651
iteration 637: loss: 0.576931
iteration 638: loss: 0.661612
  6%|██                              | 29/455 [01:20<25:50,  3.64s/it]iteration 639: loss: 0.515423
iteration 640: loss: 0.691616
iteration 641: loss: 0.611396
iteration 642: loss: 0.614225
iteration 643: loss: 0.480542
iteration 644: loss: 0.552525
